Headline,NumOfWords,NumOfChar,NumOfPunc,NumOfContPunc,NumOfContUpperCase,NumOfAdjectives,Bigrams,Bi-freq,unigrams,un-freq,trigram,tri-freq,Label
"New NASA Footage Films UFO Flying Pass
",7,38,0,0,2,0,"[('footage', 'films'), ('films', 'pass')]",4,"[('footage',), ('films',), ('pass',)]",3,"[('footage', 'films', 'pass')]",3,1
"Forget Wikileaks...this is the real October Surprise that is going to stop Hillary
",13,82,3,1,0,0,"[('forget', 'wikileaks'), ('wikileaks', 'october'), ('october', 'surprise'), ('surprise', 'hillary')]",8,"[('forget',), ('wikileaks',), ('october',), ('surprise',), ('hillary',)]",5,"[('forget', 'wikileaks', 'october'), ('wikileaks', 'october', 'surprise'), ('october', 'surprise', 'hillary')]",9,1
"To anyone relying on the not enough troops to indicate concern defense
",12,70,0,0,0,0,"[('anyone', 'troops'), ('troops', 'concern'), ('concern', 'defense')]",6,"[('anyone',), ('troops',), ('concern',), ('defense',)]",4,"[('anyone', 'troops', 'concern'), ('troops', 'concern', 'defense')]",6,1
"No-Fly Zone Declared as Militarized Police Prep for Assault on “Front-Line Camp” at Standing Rock
",15,97,0,0,0,0,"[('zone', 'police'), ('police', 'prep'), ('prep', 'assault'), ('assault', 'camp'), ('camp', '”'), ('”', 'rock')]",12,"[('zone',), ('police',), ('prep',), ('assault',), ('camp',), ('”',), ('rock',)]",7,"[('zone', 'police', 'prep'), ('police', 'prep', 'assault'), ('prep', 'assault', 'camp'), ('assault', 'camp', '”'), ('camp', '”', 'rock')]",15,1
"Mark Ruffalo Delivers Mobile Solar Trailers to Standing Rock Camps in Preparation for Harsh Winter
",15,98,0,0,0,0,"[('mark', 'ruffalo'), ('ruffalo', 'delivers'), ('delivers', 'trailers'), ('trailers', 'rock'), ('rock', 'camps'), ('camps', 'preparation'), ('preparation', 'winter')]",14,"[('mark',), ('ruffalo',), ('delivers',), ('trailers',), ('rock',), ('camps',), ('preparation',), ('winter',)]",8,"[('mark', 'ruffalo', 'delivers'), ('ruffalo', 'delivers', 'trailers'), ('delivers', 'trailers', 'rock'), ('trailers', 'rock', 'camps'), ('rock', 'camps', 'preparation'), ('camps', 'preparation', 'winter')]",18,1
"Just Weeks After Obama’s Executive Order on Catastrophic Space Weather Events, a Coronal Mass Ejection Is Set to Hit on Election Day
",22,132,1,0,0,0,"[('weeks', '’'), ('’', 's'), ('s', 'executive'), ('executive', 'order'), ('order', 'space'), ('space', 'weather'), ('weather', 'events'), ('events', 'mass'), ('mass', 'ejection'), ('ejection', 'election'), ('election', 'day')]",22,"[('weeks',), ('’',), ('s',), ('executive',), ('order',), ('space',), ('weather',), ('events',), ('mass',), ('ejection',), ('election',), ('day',)]",12,"[('weeks', '’', 's'), ('’', 's', 'executive'), ('s', 'executive', 'order'), ('executive', 'order', 'space'), ('order', 'space', 'weather'), ('space', 'weather', 'events'), ('weather', 'events', 'mass'), ('events', 'mass', 'ejection'), ('mass', 'ejection', 'election'), ('ejection', 'election', 'day')]",30,1
"Rep. Jeff Guice Sick Children Should Die If Their Parents Can’t Afford Medical Supplies
",14,87,1,0,0,0,"[('rep.', 'jeff'), ('jeff', 'guice'), ('guice', 'children'), ('children', 'parents'), ('parents', 'afford'), ('afford', 'supplies')]",12,"[('rep.',), ('jeff',), ('guice',), ('children',), ('parents',), ('afford',), ('supplies',)]",7,"[('rep.', 'jeff', 'guice'), ('jeff', 'guice', 'children'), ('guice', 'children', 'parents'), ('children', 'parents', 'afford'), ('parents', 'afford', 'supplies')]",15,1
"BREAKING: Obama Tax Audit Turns Up MILLIONS In Offshore Accounts Stolen From Taxpayers
",13,86,1,0,2,0,"[('breaking', 'tax'), ('tax', 'audit'), ('audit', 'millions'), ('millions', 'accounts'), ('accounts', 'taxpayers')]",10,"[('breaking',), ('tax',), ('audit',), ('millions',), ('accounts',), ('taxpayers',)]",6,"[('breaking', 'tax', 'audit'), ('tax', 'audit', 'millions'), ('audit', 'millions', 'accounts'), ('millions', 'accounts', 'taxpayers')]",12,1
"Paul Ryan If There Was A Legitimate Way To Have Intercourse And Not Get Pregnant God Would Have Included It In His Holy Books
",24,125,0,0,0,0,"[('paul', 'ryan'), ('ryan', 'way'), ('way', 'intercourse'), ('intercourse', 'god'), ('god', 'holy'), ('holy', 'books')]",12,"[('paul',), ('ryan',), ('way',), ('intercourse',), ('god',), ('holy',), ('books',)]",7,"[('paul', 'ryan', 'way'), ('ryan', 'way', 'intercourse'), ('way', 'intercourse', 'god'), ('intercourse', 'god', 'holy'), ('god', 'holy', 'books')]",15,1
"Spicer: “Anyone Asking For Sessions To Recuse Himself Should Be ‘Ashamed’; The Russians He Spoke With Were On U.S. Soil, Which Makes Them Americans”
",24,148,5,0,0,0,"[('spicer', '“'), ('“', 'anyone'), ('anyone', 'sessions'), ('sessions', '‘'), ('‘', '’'), ('’', 'russians'), ('russians', 'soil'), ('soil', 'americans')]",16,"[('spicer',), ('“',), ('anyone',), ('sessions',), ('‘',), ('’',), ('russians',), ('soil',), ('americans',)]",9,"[('spicer', '“', 'anyone'), ('“', 'anyone', 'sessions'), ('anyone', 'sessions', '‘'), ('sessions', '‘', '’'), ('‘', '’', 'russians'), ('’', 'russians', 'soil'), ('russians', 'soil', 'americans')]",21,1
"Lori Bakker: “Most Women Marchers Were Abused As Children, That Explains Their Immunity To The Father Figure Of Donald Trumm Brothers Aim To Ban LGBT People From Using Public Toilets “Because That Would Prevent Normal People’s Prayers In There”
",39,244,2,0,1,0,"[('bakker', '“'), ('“', 'women'), ('women', 'marchers'), ('marchers', 'children'), ('children', 'immunity'), ('immunity', 'father'), ('father', 'figure'), ('figure', 'donald'), ('donald', 'trumm'), ('trumm', 'brothers'), ('brothers', 'people'), ('people', 'toilets'), ('toilets', 'people'), ('people', 'prayers'), ('prayers', '”')]",30,"[('bakker',), ('“',), ('women',), ('marchers',), ('children',), ('immunity',), ('father',), ('figure',), ('donald',), ('trumm',), ('brothers',), ('people',), ('toilets',), ('people',), ('prayers',), ('”',)]",16,"[('bakker', '“', 'women'), ('“', 'women', 'marchers'), ('women', 'marchers', 'children'), ('marchers', 'children', 'immunity'), ('children', 'immunity', 'father'), ('immunity', 'father', 'figure'), ('father', 'figure', 'donald'), ('figure', 'donald', 'trumm'), ('donald', 'trumm', 'brothers'), ('trumm', 'brothers', 'people'), ('brothers', 'people', 'toilets'), ('people', 'toilets', 'people'), ('toilets', 'people', 'prayers'), ('people', 'prayers', '”')]",42,1
"MASSIVE TERROR ATTACK ROCKS SWEDEN – Trump Was Right
",9,52,0,0,5,0,"[('terror', 'attack'), ('attack', 'rocks'), ('rocks', 'trump')]",6,"[('terror',), ('attack',), ('rocks',), ('trump',)]",4,"[('terror', 'attack', 'rocks'), ('attack', 'rocks', 'trump')]",6,1
"THIS State Just Made A Major Move Against Obama’s Refugee Resettlement Program
",12,78,0,0,1,0,"[('state', 'move'), ('move', 'obama'), ('obama', '’'), ('’', 's'), ('s', 'resettlement'), ('resettlement', 'program')]",12,"[('state',), ('move',), ('obama',), ('’',), ('s',), ('resettlement',), ('program',)]",7,"[('state', 'move', 'obama'), ('move', 'obama', '’'), ('obama', '’', 's'), ('’', 's', 'resettlement'), ('s', 'resettlement', 'program')]",15,1
"JUST IN: Muslim Migrants BLOCK Traffic On Highway – Then Do The Unthinkable
",13,75,1,0,3,0,"[('muslim', 'migrants'), ('migrants', 'traffic'), ('traffic', 'highway'), ('highway', '–')]",8,"[('muslim',), ('migrants',), ('traffic',), ('highway',), ('–',)]",5,"[('muslim', 'migrants', 'traffic'), ('migrants', 'traffic', 'highway'), ('traffic', 'highway', '–')]",9,1
"Muslims TAKE OVER Major American City – Trump Saw This Coming
",11,61,0,0,2,0,"[('muslims', 'city'), ('city', '–'), ('–', 'trump')]",6,"[('muslims',), ('city',), ('–',), ('trump',)]",4,"[('muslims', 'city', '–'), ('city', '–', 'trump')]",6,1
"Michelle Obama Claims US Belongs To MUSLIMS – Trump Was Right
",11,61,0,0,2,0,"[('michelle', 'obama'), ('obama', 'belongs'), ('belongs', '–'), ('–', 'trump')]",8,"[('michelle',), ('obama',), ('belongs',), ('–',), ('trump',)]",5,"[('michelle', 'obama', 'belongs'), ('obama', 'belongs', '–'), ('belongs', '–', 'trump')]",9,1
"Malicious Malik: Attention-seeking half-brother of Obama posts image of ex-president's 'Kenyan birth certificate' while declaring his support for Trump in series of bizarre and bitter tweets
",26,190,1,0,0,0,"[('malik', 'half-brother'), ('half-brother', 'posts'), ('posts', 'image'), ('image', 'ex-president'), ('ex-president', 'birth'), ('birth', 'certificate'), ('certificate', 'support'), ('support', 'trump'), ('trump', 'series'), ('series', 'tweets')]",20,"[('malik',), ('half-brother',), ('posts',), ('image',), ('ex-president',), ('birth',), ('certificate',), ('support',), ('trump',), ('series',), ('tweets',)]",11,"[('malik', 'half-brother', 'posts'), ('half-brother', 'posts', 'image'), ('posts', 'image', 'ex-president'), ('image', 'ex-president', 'birth'), ('ex-president', 'birth', 'certificate'), ('birth', 'certificate', 'support'), ('certificate', 'support', 'trump'), ('support', 'trump', 'series'), ('trump', 'series', 'tweets')]",27,1
"The Day After Tomorrow - but worse! 'Geostorm' trailer outlandishly depicts the end of the world
",16,96,0,0,0,0,"[('day', 'tomorrow'), ('tomorrow', ""'geostorm""), (""'geostorm"", 'trailer'), ('trailer', 'end'), ('end', 'world')]",10,"[('day',), ('tomorrow',), (""'geostorm"",), ('trailer',), ('end',), ('world',)]",6,"[('day', 'tomorrow', ""'geostorm""), ('tomorrow', ""'geostorm"", 'trailer'), (""'geostorm"", 'trailer', 'end'), ('trailer', 'end', 'world')]",12,1
"Shocking moment two men viciously attacked a Trump supporter while he walked to class in Berkeley less than 24 hours after riots forced a lockdown at the elite school
",29,166,0,0,0,0,"[('moment', 'men'), ('men', 'trump'), ('trump', 'supporter'), ('supporter', 'class'), ('class', 'berkeley'), ('berkeley', 'hours'), ('hours', 'riots'), ('riots', 'lockdown'), ('lockdown', 'school')]",18,"[('moment',), ('men',), ('trump',), ('supporter',), ('class',), ('berkeley',), ('hours',), ('riots',), ('lockdown',), ('school',)]",10,"[('moment', 'men', 'trump'), ('men', 'trump', 'supporter'), ('trump', 'supporter', 'class'), ('supporter', 'class', 'berkeley'), ('class', 'berkeley', 'hours'), ('berkeley', 'hours', 'riots'), ('hours', 'riots', 'lockdown'), ('riots', 'lockdown', 'school')]",24,1
"Can this Twitter account predict the future? Mysterious social media handle appears to have called Brexit, Trump and Beyonce being pregnant
",21,139,1,0,0,0,"[('twitter', 'account'), ('account', 'future'), ('future', 'media'), ('media', 'brexit'), ('brexit', 'trump'), ('trump', 'beyonce')]",12,"[('twitter',), ('account',), ('future',), ('media',), ('brexit',), ('trump',), ('beyonce',)]",7,"[('twitter', 'account', 'future'), ('account', 'future', 'media'), ('future', 'media', 'brexit'), ('media', 'brexit', 'trump'), ('brexit', 'trump', 'beyonce')]",15,1
"'Google buys ad space above search results to promote its own products - giving it an advantage over its online competitors'
",21,124,0,0,0,0,"[('buys', 'ad'), ('ad', 'space'), ('space', 'search'), ('search', 'results'), ('results', 'products'), ('products', 'advantage'), ('advantage', 'competitors')]",14,"[('buys',), ('ad',), ('space',), ('search',), ('results',), ('products',), ('advantage',), ('competitors',)]",8,"[('buys', 'ad', 'space'), ('ad', 'space', 'search'), ('space', 'search', 'results'), ('search', 'results', 'products'), ('results', 'products', 'advantage'), ('products', 'advantage', 'competitors')]",18,1
"When ISIS Shot At A U.S. Helicopter, The Revenge Was EPIC
",11,57,3,0,2,0,"[('isis', 'shot'), ('shot', 'helicopter'), ('helicopter', 'revenge'), ('revenge', 'epic')]",8,"[('isis',), ('shot',), ('helicopter',), ('revenge',), ('epic',)]",5,"[('isis', 'shot', 'helicopter'), ('shot', 'helicopter', 'revenge'), ('helicopter', 'revenge', 'epic')]",9,1
"Legislation Would Reintroduce the Bible to Public Schools… It’s Happening!
",10,74,0,0,0,0,"[('legislation', 'schools…')]",2,"[('legislation',), ('schools…',)]",2,[],1,1
"ALERT: North Korea Preparing to Attack Hawaii, China Panicking
",9,62,2,0,1,0,"[('alert', 'korea'), ('korea', 'hawaii'), ('hawaii', 'china'), ('china', 'panicking')]",8,"[('alert',), ('korea',), ('hawaii',), ('china',), ('panicking',)]",5,"[('alert', 'korea', 'hawaii'), ('korea', 'hawaii', 'china'), ('hawaii', 'china', 'panicking')]",9,1
"Swedish Gov’t Says Trump is RIGHT, Muslim Immigrants Ruined EVERYTHING
",10,70,1,0,2,0,"[('gov', '’'), ('’', 't'), ('t', 'trump'), ('trump', 'immigrants'), ('immigrants', 'everything')]",10,"[('gov',), ('’',), ('t',), ('trump',), ('immigrants',), ('everything',)]",6,"[('gov', '’', 't'), ('’', 't', 'trump'), ('t', 'trump', 'immigrants'), ('trump', 'immigrants', 'everything')]",12,1
"President Trump Has a BRILLIANT Plan to Resettle Syrian Refugees
",10,64,0,0,1,0,"[('president', 'trump'), ('trump', 'plan'), ('plan', 'refugees')]",6,"[('president',), ('trump',), ('plan',), ('refugees',)]",4,"[('president', 'trump', 'plan'), ('trump', 'plan', 'refugees')]",6,1
"ISIS Says It Likes Killing Christians Most, Thanks America For Only Taking Muslim Refugees
",14,90,1,0,1,0,"[('isis', 'christians'), ('christians', 'thanks'), ('thanks', 'refugees')]",6,"[('isis',), ('christians',), ('thanks',), ('refugees',)]",4,"[('isis', 'christians', 'thanks'), ('christians', 'thanks', 'refugees')]",6,1
"Fake News Kingpin CNN Gets DEVASTATING News From Federal Judge
",10,62,0,0,2,0,"[('news', 'kingpin'), ('kingpin', 'cnn'), ('cnn', 'news'), ('news', 'judge')]",8,"[('news',), ('kingpin',), ('cnn',), ('news',), ('judge',)]",5,"[('news', 'kingpin', 'cnn'), ('kingpin', 'cnn', 'news'), ('cnn', 'news', 'judge')]",9,1
"The North East Just Got Devastating News… Please Send Your Prayers
",11,66,0,0,0,0,"[('east', 'prayers')]",2,"[('east',), ('prayers',)]",2,[],1,1
"Terrifying News Out Of California… Trump Was Right
",8,50,0,0,0,0,"[('news', 'trump')]",2,"[('news',), ('trump',)]",2,[],1,1
"KARMA! Starbucks CEO Tried To BULLY Trump- Now He’s Paying The Consequence!
",12,75,0,0,3,0,"[('karma', 'starbucks'), ('starbucks', 'consequence')]",4,"[('karma',), ('starbucks',), ('consequence',)]",3,"[('karma', 'starbucks', 'consequence')]",3,1
"SCANDAL: Hillary Clinton Advisers Probably Met With Russian Ambassador During 2016 Election
",12,91,1,0,1,0,"[('scandal', 'clinton'), ('clinton', 'advisers'), ('advisers', 'ambassador'), ('ambassador', 'election')]",8,"[('scandal',), ('clinton',), ('advisers',), ('ambassador',), ('election',)]",5,"[('scandal', 'clinton', 'advisers'), ('clinton', 'advisers', 'ambassador'), ('advisers', 'ambassador', 'election')]",9,1
"I MEANT WHAT I SAID: GREATEST CONGRESSMAN STEVE KING DOUBLES DOWN, PUNKS CNN WITH NATIONALIST RHETORIC
",16,102,2,0,14,0,"[('i', 'i'), ('i', 'congressman'), ('congressman', 'king'), ('king', 'doubles'), ('doubles', 'punks'), ('punks', 'rhetoric')]",12,"[('i',), ('i',), ('congressman',), ('king',), ('doubles',), ('punks',), ('rhetoric',)]",7,"[('i', 'i', 'congressman'), ('i', 'congressman', 'king'), ('congressman', 'king', 'doubles'), ('king', 'doubles', 'punks'), ('doubles', 'punks', 'rhetoric')]",15,1
"FOX NEWS RADIO REPORTER LASHES OUT AT “NAZI” GATEWAY PUNDIT REPORTER IN WHITE HOUSE BRIEFING ROOM
",16,97,0,0,16,0,"[('news', 'radio'), ('radio', 'reporter'), ('reporter', '“'), ('“', '”'), ('”', 'gateway'), ('gateway', 'pundit'), ('pundit', 'reporter'), ('reporter', 'house'), ('house', 'briefing'), ('briefing', 'room')]",20,"[('news',), ('radio',), ('reporter',), ('“',), ('”',), ('gateway',), ('pundit',), ('reporter',), ('house',), ('briefing',), ('room',)]",11,"[('news', 'radio', 'reporter'), ('radio', 'reporter', '“'), ('reporter', '“', '”'), ('“', '”', 'gateway'), ('”', 'gateway', 'pundit'), ('gateway', 'pundit', 'reporter'), ('pundit', 'reporter', 'house'), ('reporter', 'house', 'briefing'), ('house', 'briefing', 'room')]",27,1
"FAKE NEWS CNN ABRUPTLY CUTS FEED OF PRESIDENT TRUMP SPEAKING TO OBAMACARE VICTIMS
",13,81,0,0,13,0,"[('news', 'cnn'), ('cnn', 'cuts'), ('cuts', 'feed'), ('feed', 'president'), ('president', 'trump'), ('trump', 'speaking'), ('speaking', 'victims')]",14,"[('news',), ('cnn',), ('cuts',), ('feed',), ('president',), ('trump',), ('speaking',), ('victims',)]",8,"[('news', 'cnn', 'cuts'), ('cnn', 'cuts', 'feed'), ('cuts', 'feed', 'president'), ('feed', 'president', 'trump'), ('president', 'trump', 'speaking'), ('trump', 'speaking', 'victims')]",18,1
"JEW RUN FACEBOOK TO PARTNER WITH DISREPUTABLE “FACT CHECKERS” TO CENSOR NEWS STORIES
",13,84,0,0,13,0,"[('jew', 'facebook'), ('facebook', 'partner'), ('partner', 'fact'), ('fact', 'checkers'), ('checkers', 'news'), ('news', 'stories')]",12,"[('jew',), ('facebook',), ('partner',), ('fact',), ('checkers',), ('news',), ('stories',)]",7,"[('jew', 'facebook', 'partner'), ('facebook', 'partner', 'fact'), ('partner', 'fact', 'checkers'), ('fact', 'checkers', 'news'), ('checkers', 'news', 'stories')]",15,1
"GERMANY – LESS THAN 3 PERCENT OF “MIGRANTS” HAVE FOUND A JOB
",12,60,0,0,9,0,"[('–', 'percent'), ('percent', 'migrants'), ('migrants', 'job')]",6,"[('–',), ('percent',), ('migrants',), ('job',)]",4,"[('–', 'percent', 'migrants'), ('percent', 'migrants', 'job')]",6,1
"CHINA JUST ISSUED A NUCLEAR WARNING TO THE UNITED STATES
",10,56,0,0,9,0,"[('china', 'warning'), ('warning', 'states')]",4,"[('china',), ('warning',), ('states',)]",3,"[('china', 'warning', 'states')]",3,1
"JULIAN ASSANGE TAKEN OFFLINE IN CYBER ATTACK BY US GOVERNMENT
",10,61,0,0,10,0,"[('assange', 'offline'), ('offline', 'attack'), ('attack', 'government')]",6,"[('assange',), ('offline',), ('attack',), ('government',)]",4,"[('assange', 'offline', 'attack'), ('offline', 'attack', 'government')]",6,1
"GUCCIFER 2.0: HACKED DOCS SHOW THEY KNEW BENGHAZI WAS A TERRORIST ATTACK, YET THEY LIED
",15,87,3,0,13,0,"[('guccifer', 'docs'), ('docs', 'show'), ('show', 'benghazi'), ('benghazi', 'attack')]",8,"[('guccifer',), ('docs',), ('show',), ('benghazi',), ('attack',)]",5,"[('guccifer', 'docs', 'show'), ('docs', 'show', 'benghazi'), ('show', 'benghazi', 'attack')]",9,1
"Computer Hacking Is Becoming Russia’s Weapon of Choice Says Professor
",10,69,0,0,0,0,"[('computer', 'hacking'), ('hacking', '’'), ('’', 's'), ('s', 'weapon'), ('weapon', 'choice'), ('choice', 'professor')]",12,"[('computer',), ('hacking',), ('’',), ('s',), ('weapon',), ('choice',), ('professor',)]",7,"[('computer', 'hacking', '’'), ('hacking', '’', 's'), ('’', 's', 'weapon'), ('s', 'weapon', 'choice'), ('weapon', 'choice', 'professor')]",15,1
"Trump’s Response to Kim Jong-un Will Escalate: How to Live Through it and Prosper Afterwards
",15,92,1,0,0,0,"[('trump', '’'), ('’', 'response'), ('response', 'jong-un'), ('jong-un', 'afterwards')]",8,"[('trump',), ('’',), ('response',), ('jong-un',), ('afterwards',)]",5,"[('trump', '’', 'response'), ('’', 'response', 'jong-un'), ('response', 'jong-un', 'afterwards')]",9,1
"20 Spiritual Herbs for Activating Higher Consciousness, Awakening Intuition and Deep Healin
",12,91,1,0,0,0,"[('herbs', 'consciousness'), ('consciousness', 'intuition'), ('intuition', 'healin')]",6,"[('herbs',), ('consciousness',), ('intuition',), ('healin',)]",4,"[('herbs', 'consciousness', 'intuition'), ('consciousness', 'intuition', 'healin')]",6,1
"The Art of Chinese Face Reading: What Your Face Says About Your Personality and Future
",15,86,1,0,0,0,"[('art', 'face'), ('face', 'reading'), ('reading', 'face'), ('face', 'personality'), ('personality', 'future')]",10,"[('art',), ('face',), ('reading',), ('face',), ('personality',), ('future',)]",6,"[('art', 'face', 'reading'), ('face', 'reading', 'face'), ('reading', 'face', 'personality'), ('face', 'personality', 'future')]",12,1
"Scientists Claim To Have Found 234 Alien Civilization
",8,53,0,0,0,0,"[('scientists', 'civilization')]",2,"[('scientists',), ('civilization',)]",2,[],1,1
"He Was Walking When He Saw This Penny… So He Picks It Up And Realizes It’s Actually A Very Rare Coincident
",21,106,0,0,0,0,"[('penny…', '’'), ('’', 'coincident')]",4,"[('penny…',), ('’',), ('coincident',)]",3,"[('penny…', '’', 'coincident')]",3,1
"Accurate AI Machine Predicts Trump Presidency
",6,45,0,0,1,0,"[('accurate', 'ai'), ('ai', 'machine'), ('machine', 'presidency')]",6,"[('accurate',), ('ai',), ('machine',), ('presidency',)]",4,"[('accurate', 'ai', 'machine'), ('ai', 'machine', 'presidency')]",6,1
"WikiLeaks: Clinton Team Told To ‘Undermine Benghazi Hearings
",8,60,1,0,0,0,"[('wikileaks', 'clinton'), ('clinton', 'team'), ('team', 'benghazi'), ('benghazi', 'hearings')]",8,"[('wikileaks',), ('clinton',), ('team',), ('benghazi',), ('hearings',)]",5,"[('wikileaks', 'clinton', 'team'), ('clinton', 'team', 'benghazi'), ('team', 'benghazi', 'hearings')]",9,1
"Miracle Birth in Poland: A Baby Born in 55 Days After Its Mother’s Death
",14,72,1,0,0,0,"[('miracle', 'birth'), ('birth', 'poland'), ('poland', 'baby'), ('baby', 'days'), ('days', 'mother'), ('mother', 's'), ('s', 'death')]",14,"[('miracle',), ('birth',), ('poland',), ('baby',), ('days',), ('mother',), ('s',), ('death',)]",8,"[('miracle', 'birth', 'poland'), ('birth', 'poland', 'baby'), ('poland', 'baby', 'days'), ('baby', 'days', 'mother'), ('days', 'mother', 's'), ('mother', 's', 'death')]",18,1
"Would You Board the Titanic II? An Eerily Similar Replica of the Doomed Ship Will Set Sail in 2017
",19,98,0,0,1,0,"[('board', 'ii'), ('ii', 'replica'), ('replica', 'ship'), ('ship', 'sail')]",8,"[('board',), ('ii',), ('replica',), ('ship',), ('sail',)]",5,"[('board', 'ii', 'replica'), ('ii', 'replica', 'ship'), ('replica', 'ship', 'sail')]",9,1
"Whiten Your Face By Using One Ingredient Wrinkles Will Disappear
",10,64,0,0,0,0,"[('face', 'ingredient'), ('ingredient', 'wrinkles')]",4,"[('face',), ('ingredient',), ('wrinkles',)]",3,"[('face', 'ingredient', 'wrinkles')]",3,1
"Camera Catches Woman’s Spirit Leaving Body After Car Accident
",9,61,0,0,0,0,"[('camera', 'catches'), ('catches', 'woman'), ('woman', 'spirit'), ('spirit', 'body'), ('body', 'car'), ('car', 'accident')]",12,"[('camera',), ('catches',), ('woman',), ('spirit',), ('body',), ('car',), ('accident',)]",7,"[('camera', 'catches', 'woman'), ('catches', 'woman', 'spirit'), ('woman', 'spirit', 'body'), ('spirit', 'body', 'car'), ('body', 'car', 'accident')]",15,1
"Hillary and Trump Could Both Be Criminally Charged After The Election
",11,69,0,0,0,0,"[('trump', 'election')]",2,"[('trump',), ('election',)]",2,[],1,1
